Facilities,Amount,Comments,Sentiment
Hall Rental,4558,"Terrible and awful experience, would not go back.",Negative
Entrance,15537,"The room was decent and normal, nothing special.",Neutral
Hall Rental,17172,Good location but service was just standard.,Neutral
Reservation,15936,"Excellent facility, highly recommend to everyone!",Positive
Entrance,9920,Good location but service was just standard.,Neutral
Event,16887,"Everything was superb, clean, and well-maintained.",Positive
Event,12570,Good location but service was just standard.,Neutral
Room,3176,"Terrible and awful experience, would not go back.",Negative
Reservation,3055,"Dirty rooms, broken aircon, and bad smell.",Negative
Room,15009,Walang kupas ang ganda ng pool area.,Positive
Event,16497,Medyo okay naman ang experience namin.,Neutral
Reservation,15956,Walang kupas ang ganda ng pool area.,Positive
Event,17141,Hindi gaanong special pero okay naman yung stay.,Neutral
Hall Rental,14976,Medyo okay naman ang experience namin.,Neutral
Reservation,17813,"It was an okay stay, average service overall.",Neutral
Event,3314,Rude staff and very slow service at reception.,Negative
Reservation,14588,"Acceptable quality, sakto lang ang karanasan.",Neutral
Reservation,12757,"Standard amenities, fine experience for the price.",Neutral
Entrance,17032,"Standard amenities, fine experience for the price.",Neutral
Room,5392,"Disappointing stay, a total waste of money.",Negative
Room,10096,"Acceptable quality, sakto lang ang karanasan.",Neutral
Hall Rental,26435,Great value for money and a relaxing vibe.,Positive
Room,10610,Hindi gaanong special pero okay naman yung stay.,Neutral
Hall Rental,28121,"Excellent facility, highly recommend to everyone!",Positive
Reservation,20468,"Everything was superb, clean, and well-maintained.",Positive
Hall Rental,8952,Hindi kami nasiyahan sa aming stay dito.,Negative
Hall Rental,7806,"Disappointing stay, a total waste of money.",Negative
Event,2641,Rude staff and very slow service at reception.,Negative
Entrance,25616,Sulit na sulit ang booking namin.,Positive
Reservation,9574,"Acceptable quality, sakto lang ang karanasan.",Neutral
Event,10990,"Standard amenities, fine experience for the price.",Neutral
Reservation,23623,The service was perfect and absolutely amazing.,Positive
Event,23734,Great value for money and a relaxing vibe.,Positive
Event,3850,Mabagal ang serbisyo at medyo disappointing.,Negative
Event,26636,Walang kupas ang ganda ng pool area.,Positive
Room,11968,"It was an okay stay, average service overall.",Neutral
Reservation,2737,Madumi yung area nung dumating kami.,Negative
Event,14892,The facilities are fine but could be better.,Neutral
Hall Rental,2527,Madumi yung area nung dumating kami.,Negative
Hall Rental,28919,"Excellent facility, highly recommend to everyone!",Positive
Reservation,2719,Hindi kami nasiyahan sa aming stay dito.,Negative
Entrance,14450,"Acceptable quality, sakto lang ang karanasan.",Neutral
Room,29846,The service was perfect and absolutely amazing.,Positive
Event,21359,Great value for money and a relaxing vibe.,Positive
Event,4593,"Dirty rooms, broken aircon, and bad smell.",Negative
Event,9688,"Disappointing stay, a total waste of money.",Negative
Reservation,17250,Hindi gaanong special pero okay naman yung stay.,Neutral
Room,9437,"Disappointing stay, a total waste of money.",Negative
Room,6196,Madumi yung area nung dumating kami.,Negative
Entrance,10854,The facilities are fine but could be better.,Neutral
Room,9688,Rude staff and very slow service at reception.,Negative
Reservation,22705,"Excellent facility, highly recommend to everyone!",Positive
Hall Rental,17356,Sulit na sulit ang booking namin.,Positive
Event,9102,Hindi gaanong special pero okay naman yung stay.,Neutral
Hall Rental,28688,The service was perfect and absolutely amazing.,Positive
Reservation,13634,Hindi gaanong special pero okay naman yung stay.,Neutral
Event,7475,The water was cloudy and the area was messy.,Negative
Reservation,20083,Mabait at magalang ang mga staff dito.,Positive
Room,15940,"Standard amenities, fine experience for the price.",Neutral
Hall Rental,3040,"Terrible and awful experience, would not go back.",Negative
Event,7720,Hindi kami nasiyahan sa aming stay dito.,Negative
Event,23942,"Everything was superb, clean, and well-maintained.",Positive
Room,17529,Great value for money and a relaxing vibe.,Positive
Entrance,7812,"Terrible and awful experience, would not go back.",Negative
Reservation,9375,Mabagal ang serbisyo at medyo disappointing.,Negative
Hall Rental,15778,Walang kupas ang ganda ng pool area.,Positive
Event,23533,Mabait at magalang ang mga staff dito.,Positive
Room,10817,Hindi gaanong special pero okay naman yung stay.,Neutral
Reservation,21565,Great value for money and a relaxing vibe.,Positive
Event,15531,The facilities are fine but could be better.,Neutral
Event,11864,"It was an okay stay, average service overall.",Neutral
Event,8639,Rude staff and very slow service at reception.,Negative
Event,16923,Medyo okay naman ang experience namin.,Neutral
Reservation,21190,The service was perfect and absolutely amazing.,Positive
Event,8336,Hindi gaanong special pero okay naman yung stay.,Neutral
Event,7326,"Dirty rooms, broken aircon, and bad smell.",Negative
Hall Rental,8692,"Acceptable quality, sakto lang ang karanasan.",Neutral
Event,6076,Mabagal ang serbisyo at medyo disappointing.,Negative
Hall Rental,5735,Hindi kami nasiyahan sa aming stay dito.,Negative
Hall Rental,20864,Great value for money and a relaxing vibe.,Positive
Event,10618,Hindi gaanong special pero okay naman yung stay.,Neutral
Reservation,7501,"Terrible and awful experience, would not go back.",Negative
Entrance,9900,"It was an okay stay, average service overall.",Neutral
Event,2065,"Disappointing stay, a total waste of money.",Negative
Entrance,2943,Madumi yung area nung dumating kami.,Negative
Event,18036,"Excellent facility, highly recommend to everyone!",Positive
Entrance,2612,Hindi kami nasiyahan sa aming stay dito.,Negative
Entrance,27377,"Everything was superb, clean, and well-maintained.",Positive
Reservation,9443,Rude staff and very slow service at reception.,Negative
Entrance,23232,"Everything was superb, clean, and well-maintained.",Positive
Room,14548,Hindi gaanong special pero okay naman yung stay.,Neutral
Hall Rental,29624,"Beautiful view and very friendly, helpful staff.",Positive
Hall Rental,6567,"Terrible and awful experience, would not go back.",Negative
Entrance,5735,"Dirty rooms, broken aircon, and bad smell.",Negative
Entrance,25361,Mabait at magalang ang mga staff dito.,Positive
Room,2928,"Terrible and awful experience, would not go back.",Negative
Room,5932,"Terrible and awful experience, would not go back.",Negative
Event,2215,"Terrible and awful experience, would not go back.",Negative
Room,2969,Rude staff and very slow service at reception.,Negative
Reservation,17429,The facilities are fine but could be better.,Neutral
Reservation,2087,Madumi yung area nung dumating kami.,Negative
Hall Rental,14239,Medyo okay naman ang experience namin.,Neutral
Event,5127,Madumi yung area nung dumating kami.,Negative
Event,12815,"Standard amenities, fine experience for the price.",Neutral
Entrance,20299,"Beautiful view and very friendly, helpful staff.",Positive
Reservation,17012,"It was an okay stay, average service overall.",Neutral
Hall Rental,3979,"Disappointing stay, a total waste of money.",Negative
Entrance,15905,"Acceptable quality, sakto lang ang karanasan.",Neutral
Event,3273,"Dirty rooms, broken aircon, and bad smell.",Negative
Entrance,15560,"Everything was superb, clean, and well-maintained.",Positive
Entrance,2779,Rude staff and very slow service at reception.,Negative
Hall Rental,8332,"Terrible and awful experience, would not go back.",Negative
Entrance,20854,The service was perfect and absolutely amazing.,Positive
Reservation,8489,Good location but service was just standard.,Neutral
Room,23467,"Excellent facility, highly recommend to everyone!",Positive
Event,21031,Mabait at magalang ang mga staff dito.,Positive
Event,24175,"Excellent facility, highly recommend to everyone!",Positive
Hall Rental,9855,The facilities are fine but could be better.,Neutral
Hall Rental,3045,The water was cloudy and the area was messy.,Negative
Reservation,2225,Madumi yung area nung dumating kami.,Negative
Room,5004,"Dirty rooms, broken aircon, and bad smell.",Negative
Entrance,5096,Rude staff and very slow service at reception.,Negative
Room,15155,Medyo okay naman ang experience namin.,Neutral
Room,25532,Sulit na sulit ang booking namin.,Positive
Room,6163,Madumi yung area nung dumating kami.,Negative
Entrance,4506,"Dirty rooms, broken aircon, and bad smell.",Negative
Room,7698,Rude staff and very slow service at reception.,Negative
Entrance,8226,"Acceptable quality, sakto lang ang karanasan.",Neutral
Reservation,20796,The service was perfect and absolutely amazing.,Positive
Reservation,26754,"Excellent facility, highly recommend to everyone!",Positive
Event,17738,Hindi gaanong special pero okay naman yung stay.,Neutral
Hall Rental,9553,"The room was decent and normal, nothing special.",Neutral
Hall Rental,6433,Madumi yung area nung dumating kami.,Negative
Entrance,11072,Good location but service was just standard.,Neutral
Room,15667,Walang kupas ang ganda ng pool area.,Positive
Reservation,6715,Mabagal ang serbisyo at medyo disappointing.,Negative
Entrance,3664,"Terrible and awful experience, would not go back.",Negative
Hall Rental,17116,Good location but service was just standard.,Neutral
Room,15661,"Beautiful view and very friendly, helpful staff.",Positive
Room,6866,Hindi kami nasiyahan sa aming stay dito.,Negative
Reservation,4156,The water was cloudy and the area was messy.,Negative
Entrance,21353,Walang kupas ang ganda ng pool area.,Positive
Hall Rental,15069,Hindi gaanong special pero okay naman yung stay.,Neutral
Event,8657,The water was cloudy and the area was messy.,Negative
Hall Rental,26939,"Everything was superb, clean, and well-maintained.",Positive
Event,28545,The service was perfect and absolutely amazing.,Positive
Hall Rental,17634,"Everything was superb, clean, and well-maintained.",Positive
Reservation,28503,"Beautiful view and very friendly, helpful staff.",Positive
Reservation,10994,The facilities are fine but could be better.,Neutral
Entrance,7190,"Terrible and awful experience, would not go back.",Negative
Hall Rental,12322,"It was an okay stay, average service overall.",Neutral
Reservation,21986,Mabait at magalang ang mga staff dito.,Positive
Reservation,24793,Great value for money and a relaxing vibe.,Positive
Room,10172,Hindi gaanong special pero okay naman yung stay.,Neutral
Reservation,6844,"Disappointing stay, a total waste of money.",Negative
Room,17865,"It was an okay stay, average service overall.",Neutral
Reservation,9830,"Dirty rooms, broken aircon, and bad smell.",Negative
Hall Rental,15593,Mabait at magalang ang mga staff dito.,Positive
Entrance,2564,Mabagal ang serbisyo at medyo disappointing.,Negative
Reservation,8697,Madumi yung area nung dumating kami.,Negative
Reservation,7530,Hindi kami nasiyahan sa aming stay dito.,Negative
Entrance,4246,"Disappointing stay, a total waste of money.",Negative
Entrance,6873,Madumi yung area nung dumating kami.,Negative
Entrance,9090,Mabagal ang serbisyo at medyo disappointing.,Negative
Reservation,15972,"The room was decent and normal, nothing special.",Neutral
Hall Rental,17421,Good location but service was just standard.,Neutral
Entrance,21981,"Beautiful view and very friendly, helpful staff.",Positive
Event,8923,"Terrible and awful experience, would not go back.",Negative
Hall Rental,17327,"It was an okay stay, average service overall.",Neutral
Room,28164,"Beautiful view and very friendly, helpful staff.",Positive
Room,3541,Hindi kami nasiyahan sa aming stay dito.,Negative
Reservation,28550,Walang kupas ang ganda ng pool area.,Positive
Hall Rental,26296,"Beautiful view and very friendly, helpful staff.",Positive
Reservation,17175,Hindi gaanong special pero okay naman yung stay.,Neutral
Entrance,8703,"It was an okay stay, average service overall.",Neutral
Room,29722,Sulit na sulit ang booking namin.,Positive
Room,19799,Mabait at magalang ang mga staff dito.,Positive
Reservation,3916,"Dirty rooms, broken aircon, and bad smell.",Negative
Reservation,20917,The service was perfect and absolutely amazing.,Positive
Entrance,10032,Hindi gaanong special pero okay naman yung stay.,Neutral
Reservation,22576,The service was perfect and absolutely amazing.,Positive
Entrance,19107,Great value for money and a relaxing vibe.,Positive
